States,CrimeIncidents-2014,CrimeIncidents-2015,CrimeIncidents-2016,CrimeIncidents-Total,Population,Decadal growth(2001-2011) %,Rural population,Urban population,Area,Density Per Sq km,Sex ratio,Net Domestic Product per capita (INR),Net Domestic Product per capita (USD)
Andaman and Nicobar Islands,746,862,802,2410,380581,6.9,237093,143488,8249,46,876,159664,2200
Andhra Pradesh,114604,110693,106774,332071,49577103,11,34966693,14610410,162968,303,993,151173,2100
Arunachal Pradesh,2843,2968,2534,8345,1383727,26,1066358,317369,83743,17,938,139588,2000
Assam,94337,103616,102250,300203,31205576,17.1,26807034,4398542,78438,397,954,82078,1200
Bihar,177595,176973,164163,518731,104099452,25.4,92341436,11758016,94163,1102,918,43822,610
Chandigarh,3221,3248,2996,9465,1055450,17.2,28991,1026459,114,9252,818,329209,4600
Chhattisgarh,58200,56692,55029,169921,25545198,22.6,19607961,5937237,135191,189,991,96887,1400
Dadra and Nagar Haveli and Daman and Diu,510,571,515,1596,585764,55.1,243510,342254,603,970,711,NaN,NaN
Delhi,155654,191377,209519,556550,16787941,21.2,419042,16368899,1484,11297,868,365529,5100
Goa,4466,3074,2692,10232,1458545,8.2,551731,906814,3702,394,973,458304,6400
Gujarat,131385,126935,147122,405442,60439692,19.3,34694609,25745083,196024,308,919,197447,2800
Haryana,79947,84466,88527,252940,25351462,19.9,16509359,8842103,44212,573,879,264207,3700
Himachal Pradesh,14160,14007,13386,41553,6864602,12.9,6176050,688552,55673,123,972,195255,2700
Jammu and Kashmir,23848,23583,24501,71932,12267032,23.6,9064220,3202812,125535,98,890,91882,1300
Jharkhand,45335,45050,40710,131095,32988134,22.4,25055073,7933061,79714,414,948,76019,1100
Karnataka,137338,138847,148402,424587,61095297,15.6,37469335,23625962,191791,319,973,210887,3000
Kerala,206789,257074,260097,723960,33406061,4.9,17471135,15934926,38863,859,1084,204105,2900
Ladakh,NaN,NaN,NaN,NaN,274000,17.8,43840,230160,96701,2.8,853,NaN,NaN
Lakshadweep,81,50,36,167,64473,6.3,14141,50332,32,2013,946,NaN,NaN
Madhya Pradesh,272423,268614,264418,805455,72626809,20.3,52557404,20069405,308245,236,931,90998,1300
Maharashtra,249834,275414,261714,786962,112374333,16,61556074,50818259,307713,365,929,207727,2900
Manipur,3641,3847,3170,10658,2570390,18.6,1793875,776515,22327,122,992,69978,980
Meghalaya,3679,4079,3366,11124,2966889,27.9,2371439,595450,22429,132,989,98151,1400
Mizoram,2140,2228,2425,6793,1097206,23.5,525435,571771,21081,52,976,201741,2800
Nagaland,1157,1302,1376,3835,1978502,0.6,1407536,570966,16579,119,931,116882,1600
Odisha,74569,83360,81460,239389,41974218,14,34970562,7003656,155707,269,979,101587,1400
Puducherry,3584,3440,4086,11110,1247953,28.1,395200,852753,479,2598,1037,237279,3300
Punjab,37162,37983,40007,115152,27743338,13.9,17344192,10399146,50362,550,895,154996,2200
Rajasthan,210418,198080,180398,588896,68548437,21.3,51500352,17048085,342239,201,928,118159,1700
Sikkim,1065,766,809,2640,610577,12.9,456999,153578,7096,86,890,357643,5000
Tamil Nadu,193200,187558,179896,560654,72147030,15.6,37229590,34917440,130058,555,996,214237,3000
Telangana,106830,106282,108991,322103,35003674,13.58,21395009,13608665,112077,312,988,228216,3200
Tripura,5499,4692,3933,14124,3673917,14.8,2712464,961453,10486,350,960,113102,1600
Uttar Pradesh,240475,241920,282171,764566,199812341,20.2,155317278,44495063,240928,828,912,70419,990
Uttarakhand,9156,10248,10867,30271,10086292,18.8,7036954,3049338,53483,189,963,198738,2800
West Bengal,185672,179501,176569,541742,91276115,13.8,62183113,29093002,88752,1029,953,109491,1500
