NAV,DATE
30.6237,2-Jan-17
30.7419,3-Jan-17
30.7627,4-Jan-17
31.0242,5-Jan-17
30.8899,6-Jan-17
30.9355,9-Jan-17
31.1611,10-Jan-17
31.5045,11-Jan-17
31.5445,12-Jan-17
31.5013,13-Jan-17
31.5338,16-Jan-17
31.5038,17-Jan-17
31.6469,18-Jan-17
31.6557,19-Jan-17
31.3517,20-Jan-17
31.4756,23-Jan-17
31.8282,24-Jan-17
32.2146,25-Jan-17
32.3326,27-Jan-17
32.2992,30-Jan-17
31.9785,31-Jan-17
32.5458,1-Feb-17
32.6468,2-Feb-17
32.7545,3-Feb-17
32.9756,6-Feb-17
32.8596,7-Feb-17
32.9304,8-Feb-17
32.9884,9-Feb-17
33.0069,10-Feb-17
32.9842,13-Feb-17
32.8087,14-Feb-17
32.4533,15-Feb-17
32.7616,16-Feb-17
33.001,17-Feb-17
33.2105,20-Feb-17
33.3625,21-Feb-17
33.2592,22-Feb-17
33.2617,23-Feb-17
33.1839,27-Feb-17
33.1406,28-Feb-17
33.3178,1-Mar-17
33.0298,2-Mar-17
33.0631,3-Mar-17
33.2666,6-Mar-17
33.2569,7-Mar-17
33.1754,8-Mar-17
33.1973,9-Mar-17
33.1746,10-Mar-17
33.6951,14-Mar-17
33.7828,15-Mar-17
34.0555,16-Mar-17
34.0719,17-Mar-17
34.1192,20-Mar-17
34.0488,21-Mar-17
33.7318,22-Mar-17
33.9565,23-Mar-17
33.9965,24-Mar-17
33.8677,27-Mar-17
34.0625,28-Mar-17
34.129,29-Mar-17
34.2672,30-Mar-17
34.4397,31-Mar-17
34.6033,3-Apr-17
34.7672,5-Apr-17
34.7663,6-Apr-17
34.626,7-Apr-17
34.6786,10-Apr-17
34.8442,11-Apr-17
34.7586,12-Apr-17
34.6111,13-Apr-17
34.555,17-Apr-17
34.4936,18-Apr-17
34.5371,19-Apr-17
34.6889,20-Apr-17
34.6923,21-Apr-17
35.0758,24-Apr-17
35.3259,25-Apr-17
35.4068,26-Apr-17
35.4091,27-Apr-17
35.3719,28-Apr-17
35.3983,2-May-17
35.3098,3-May-17
35.3731,4-May-17
35.1492,5-May-17
35.2684,8-May-17
35.2861,9-May-17
35.645,10-May-17
35.7314,11-May-17
35.64,12-May-17
35.7281,15-May-17
35.9049,16-May-17
35.9135,17-May-17
35.4375,18-May-17
35.3146,19-May-17
35.2322,22-May-17
34.96,23-May-17
34.7241,24-May-17
35.3211,25-May-17
35.8147,26-May-17
35.6945,29-May-17
35.8097,30-May-17
36.0261,31-May-17
36.0936,1-Jun-17
36.2196,2-Jun-17
36.3677,5-Jun-17
36.1893,6-Jun-17
36.3247,7-Jun-17
36.35,8-Jun-17
36.4327,9-Jun-17
36.2366,12-Jun-17
36.2623,13-Jun-17
36.2996,14-Jun-17
36.196,15-Jun-17
36.264,16-Jun-17
36.4224,19-Jun-17
36.4336,20-Jun-17
36.3763,21-Jun-17
36.3091,22-Jun-17
36.0025,23-Jun-17
35.8102,27-Jun-17
35.738,28-Jun-17
35.7864,29-Jun-17
35.9331,30-Jun-17
36.2362,3-Jul-17
36.2237,4-Jul-17
36.4315,5-Jul-17
36.5272,6-Jul-17
36.4767,7-Jul-17
36.7242,10-Jul-17
36.7158,11-Jul-17
36.8673,12-Jul-17
37.197,13-Jul-17
37.2497,14-Jul-17
37.2859,17-Jul-17
36.9394,18-Jul-17
37.2674,19-Jul-17
37.1058,20-Jul-17
37.1973,21-Jul-17
37.2968,24-Jul-17
37.3715,25-Jul-17
37.4619,26-Jul-17
37.4959,27-Jul-17
37.4929,28-Jul-17
37.7499,31-Jul-17
37.9572,1-Aug-17
37.8919,2-Aug-17
37.626,3-Aug-17
38.0024,4-Aug-17
38.1782,7-Aug-17
37.8369,8-Aug-17
37.4165,9-Aug-17
36.9668,10-Aug-17
36.649,11-Aug-17
37.1835,14-Aug-17
37.5168,16-Aug-17
37.4765,17-Aug-17
37.2337,18-Aug-17
36.8766,21-Aug-17
36.8719,22-Aug-17
37.1795,23-Aug-17
37.3006,24-Aug-17
37.5581,28-Aug-17
37.1447,29-Aug-17
37.5851,30-Aug-17
37.6828,31-Aug-17
37.8826,1-Sep-17
37.5914,4-Sep-17
37.8178,5-Sep-17
37.7698,6-Sep-17
37.9361,7-Sep-17
37.8828,8-Sep-17
38.2356,11-Sep-17
38.6365,12-Sep-17
38.3894,13-Sep-17
38.4127,14-Sep-17
38.4146,15-Sep-17
38.6306,18-Sep-17
38.5904,19-Sep-17
38.5484,20-Sep-17
38.4223,21-Sep-17
37.6808,22-Sep-17
37.1195,25-Sep-17
37.0898,26-Sep-17
36.5657,27-Sep-17
36.7337,28-Sep-17
36.9898,29-Sep-17
37.2607,3-Oct-17
37.375,4-Oct-17
37.3144,5-Oct-17
37.6192,6-Oct-17
37.5992,9-Oct-17
37.7189,10-Oct-17
37.6093,11-Oct-17
38.0229,12-Oct-17
38.142,13-Oct-17
38.2863,16-Oct-17
38.4099,17-Oct-17
38.3387,18-Oct-17
38.219,23-Oct-17
38.2811,24-Oct-17
38.3261,25-Oct-17
38.4222,26-Oct-17
38.4544,27-Oct-17
38.7605,30-Oct-17
38.7276,31-Oct-17
38.9984,1-Nov-17
39.0932,2-Nov-17
39.1579,3-Nov-17
39.3378,6-Nov-17
38.9276,7-Nov-17
38.7289,8-Nov-17
38.8488,9-Nov-17
38.8736,10-Nov-17
38.661,13-Nov-17
38.5453,14-Nov-17
38.2827,15-Nov-17
38.5766,16-Nov-17
38.9186,17-Nov-17
39.0205,20-Nov-17
39.166,21-Nov-17
39.1894,22-Nov-17
39.1881,23-Nov-17
39.2889,24-Nov-17
39.3946,27-Nov-17
39.3631,28-Nov-17
39.4162,29-Nov-17
39.0003,30-Nov-17
38.7392,1-Dec-17
38.6599,4-Dec-17
38.6187,5-Dec-17
38.2508,6-Dec-17
38.7428,7-Dec-17
39.1957,8-Dec-17
39.4034,11-Dec-17
39.0577,12-Dec-17
38.8823,13-Dec-17
39.0298,14-Dec-17
39.3962,15-Dec-17
39.5856,18-Dec-17
39.9389,19-Dec-17
39.977,20-Dec-17
39.9834,21-Dec-17
40.1604,22-Dec-17
40.2241,26-Dec-17
40.108,27-Dec-17
40.0555,28-Dec-17
40.1819,29-Dec-17
39.9663,1-Jan-18
39.8831,2-Jan-18
39.9452,3-Jan-18
40.2319,4-Jan-18
40.4013,5-Jan-18
40.7211,8-Jan-18
40.6801,9-Jan-18
40.5405,10-Jan-18
40.5792,11-Jan-18
40.5928,12-Jan-18
40.6984,15-Jan-18
40.422,16-Jan-18
40.7239,17-Jan-18
40.6488,18-Jan-18
40.8781,19-Jan-18
40.9843,22-Jan-18
41.1956,23-Jan-18
41.1036,24-Jan-18
40.8942,25-Jan-18
41.0369,29-Jan-18
40.7713,30-Jan-18
40.6358,31-Jan-18
40.7597,1-Feb-18
39.667,2-Feb-18
39.3698,5-Feb-18
38.8392,6-Feb-18
38.9324,7-Feb-18
39.3285,8-Feb-18
38.9963,9-Feb-18
39.3578,12-Feb-18
39.3271,14-Feb-18
39.3464,15-Feb-18
39.0149,16-Feb-18
38.6684,19-Feb-18
38.5803,20-Feb-18
38.5915,21-Feb-18
38.5124,22-Feb-18
39.015,23-Feb-18
39.5202,26-Feb-18
39.4314,27-Feb-18
39.287,28-Feb-18
39.1303,1-Mar-18
38.8726,5-Mar-18
38.4673,6-Mar-18
38.0977,7-Mar-18
38.3719,8-Mar-18
38.3516,9-Mar-18
38.9075,12-Mar-18
39.073,13-Mar-18
39.0346,14-Mar-18
39.0236,15-Mar-18
38.5387,16-Mar-18
38.1562,19-Mar-18
38.2938,20-Mar-18
38.3945,21-Mar-18
38.2044,22-Mar-18
37.8183,23-Mar-18
38.4121,26-Mar-18
38.7989,27-Mar-18
38.6206,28-Mar-18
39.1232,2-Apr-18
39.3904,3-Apr-18
38.8606,4-Apr-18
39.6058,5-Apr-18
39.7011,6-Apr-18
39.9101,9-Apr-18
39.9436,10-Apr-18
39.893,11-Apr-18
39.9743,12-Apr-18
39.9747,13-Apr-18
40.2421,16-Apr-18
40.3399,17-Apr-18
40.1978,18-Apr-18
40.3935,19-Apr-18
40.2784,20-Apr-18
40.4527,23-Apr-18
40.5165,24-Apr-18
40.3567,25-Apr-18
40.4901,26-Apr-18
40.6717,27-Apr-18
40.8998,30-Apr-18
40.6194,2-May-18
40.3034,3-May-18
40.0846,4-May-18
40.4341,7-May-18
40.4131,8-May-18
40.3568,9-May-18
40.1881,10-May-18
40.5366,11-May-18
40.4364,14-May-18
40.3375,15-May-18
40.0586,16-May-18
39.9094,17-May-18
39.4585,18-May-18
39.0354,21-May-18
39.2016,22-May-18
38.8774,23-May-18
39.0803,24-May-18
39.6021,25-May-18
40.0791,28-May-18
39.8211,29-May-18
39.7312,30-May-18
40.0327,31-May-18
39.8307,1-Jun-18
39.5638,4-Jun-18
39.3135,5-Jun-18
39.751,6-Jun-18
39.9877,7-Jun-18
39.954,8-Jun-18
40.0149,11-Jun-18
40.2408,12-Jun-18
40.1455,13-Jun-18
40.0854,14-Jun-18
39.9879,15-Jun-18
39.9072,18-Jun-18
39.595,19-Jun-18
39.7061,20-Jun-18
39.5298,21-Jun-18
39.8019,22-Jun-18
39.479,25-Jun-18
39.5217,26-Jun-18
39.0622,27-Jun-18
38.6863,28-Jun-18
39.0919,29-Jun-18
38.8112,2-Jul-18
,3-Jul-18
,4-Jul-18
,5-Jul-18
,6-Jul-18
,9-Jul-18
,10-Jul-18
,11-Jul-18
,12-Jul-18
,13-Jul-18
,16-Jul-18
,17-Jul-18
,18-Jul-18
,19-Jul-18
,20-Jul-18
,23-Jul-18
,24-Jul-18
,25-Jul-18
,26-Jul-18
,27-Jul-18
,30-Jul-18
,31-Jul-18
,1-Aug-18
,2-Aug-18
,3-Aug-18
,6-Aug-18
,7-Aug-18
,8-Aug-18
,9-Aug-18
,10-Aug-18
,13-Aug-18
,14-Aug-18
,16-Aug-18
,17-Aug-18
,20-Aug-18
,21-Aug-18
,23-Aug-18
,24-Aug-18
,27-Aug-18
,28-Aug-18
,29-Aug-18
,30-Aug-18
,31-Aug-18
,3-Sep-18
,4-Sep-18
,5-Sep-18
,6-Sep-18
,7-Sep-18
,10-Sep-18
,11-Sep-18
,12-Sep-18
,14-Sep-18
,17-Sep-18
,18-Sep-18
,19-Sep-18
,21-Sep-18
,24-Sep-18
,25-Sep-18
,26-Sep-18
,27-Sep-18
,28-Sep-18
,1-Oct-18
,3-Oct-18
,4-Oct-18
,5-Oct-18
,8-Oct-18
,9-Oct-18
,10-Oct-18
,11-Oct-18
,12-Oct-18
,15-Oct-18
,16-Oct-18
,17-Oct-18
,19-Oct-18
,22-Oct-18
,23-Oct-18
,24-Oct-18
,25-Oct-18
,26-Oct-18
,29-Oct-18
,30-Oct-18
,31-Oct-18
,1-Nov-18
,2-Nov-18
,5-Nov-18
,6-Nov-18
,9-Nov-18
,12-Nov-18
,13-Nov-18
,14-Nov-18
,15-Nov-18
,16-Nov-18
,19-Nov-18
,20-Nov-18
,21-Nov-18
,22-Nov-18
,26-Nov-18
,27-Nov-18
,28-Nov-18
,29-Nov-18
,30-Nov-18
,3-Dec-18
,4-Dec-18
,5-Dec-18
,6-Dec-18
,7-Dec-18
,10-Dec-18
,11-Dec-18
,12-Dec-18
,13-Dec-18
,14-Dec-18
,17-Dec-18
,18-Dec-18
,19-Dec-18
,20-Dec-18
,21-Dec-18
,24-Dec-18
,26-Dec-18
,27-Dec-18
,28-Dec-18
,31-Dec-18
,1-Jan-19
,2-Jan-19
,3-Jan-19
,4-Jan-19
,7-Jan-19
,8-Jan-19
,9-Jan-19
,10-Jan-19
,11-Jan-19
,14-Jan-19
,15-Jan-19
,16-Jan-19
,17-Jan-19
,18-Jan-19
,21-Jan-19
,22-Jan-19
,23-Jan-19
,24-Jan-19
,25-Jan-19
,28-Jan-19
,29-Jan-19
,30-Jan-19
,31-Jan-19
,1-Feb-19
,4-Feb-19
,5-Feb-19
,6-Feb-19
,7-Feb-19
,8-Feb-19
,11-Feb-19
,12-Feb-19
,13-Feb-19
,14-Feb-19
,15-Feb-19
,18-Feb-19
,19-Feb-19
,20-Feb-19
,21-Feb-19
,22-Feb-19
,25-Feb-19
,26-Feb-19
,27-Feb-19
,28-Feb-19
,1-Mar-19
,5-Mar-19
,6-Mar-19
,7-Mar-19
,8-Mar-19
,11-Mar-19
,12-Mar-19
,13-Mar-19
,14-Mar-19
,15-Mar-19
,18-Mar-19
,19-Mar-19
,20-Mar-19
,22-Mar-19
,25-Mar-19
,26-Mar-19
,27-Mar-19
,28-Mar-19
,29-Mar-19
,1-Apr-19
,2-Apr-19
,3-Apr-19
,4-Apr-19
,5-Apr-19
,8-Apr-19
,9-Apr-19
,10-Apr-19
,11-Apr-19
,12-Apr-19
,15-Apr-19
,16-Apr-19
,18-Apr-19
,22-Apr-19
,23-Apr-19
,24-Apr-19
,25-Apr-19
,26-Apr-19
,30-Apr-19
,2-May-19
,3-May-19
,6-May-19
,7-May-19
,8-May-19
,9-May-19
,10-May-19
,13-May-19
,14-May-19
,15-May-19
,16-May-19
,17-May-19
,20-May-19
,21-May-19
,22-May-19
,23-May-19
,24-May-19
,27-May-19
,28-May-19
,29-May-19
,30-May-19
,31-May-19
,3-Jun-19
,4-Jun-19
,6-Jun-19
,7-Jun-19
,10-Jun-19
,11-Jun-19
,12-Jun-19
,13-Jun-19
,14-Jun-19
,17-Jun-19
,18-Jun-19
,19-Jun-19
,20-Jun-19
,21-Jun-19
,24-Jun-19
,25-Jun-19
,26-Jun-19
,27-Jun-19
,28-Jun-19
,1-Jul-19
,2-Jul-19
,3-Jul-19
,4-Jul-19
,5-Jul-19
,8-Jul-19
,9-Jul-19
,10-Jul-19
,11-Jul-19
,12-Jul-19
,15-Jul-19
,16-Jul-19
,17-Jul-19
,18-Jul-19
,19-Jul-19
,22-Jul-19
,23-Jul-19
,24-Jul-19
,25-Jul-19
,26-Jul-19
,29-Jul-19
,30-Jul-19
,31-Jul-19
,1-Aug-19
,2-Aug-19
,5-Aug-19
,6-Aug-19
,7-Aug-19
,8-Aug-19
,9-Aug-19
,13-Aug-19
,14-Aug-19
,16-Aug-19
,19-Aug-19
,20-Aug-19
,21-Aug-19
,22-Aug-19
,23-Aug-19
,26-Aug-19
,27-Aug-19
,28-Aug-19
,29-Aug-19
,30-Aug-19
,3-Sep-19
,4-Sep-19
,5-Sep-19
,6-Sep-19
,9-Sep-19
,11-Sep-19
,12-Sep-19
,13-Sep-19
,16-Sep-19
,17-Sep-19
,18-Sep-19
,19-Sep-19
,20-Sep-19
,23-Sep-19
,24-Sep-19
,25-Sep-19
,26-Sep-19
,27-Sep-19
,30-Sep-19
,1-Oct-19
,3-Oct-19
,4-Oct-19
,7-Oct-19
,9-Oct-19
,10-Oct-19
,11-Oct-19
,14-Oct-19
,15-Oct-19
,16-Oct-19
,17-Oct-19
,18-Oct-19
,22-Oct-19
,23-Oct-19
,24-Oct-19
,25-Oct-19
,29-Oct-19
,30-Oct-19
,31-Oct-19
,1-Nov-19
,4-Nov-19
,5-Nov-19
,6-Nov-19
,7-Nov-19
,8-Nov-19
,11-Nov-19
,13-Nov-19
,14-Nov-19
,15-Nov-19
,18-Nov-19
,19-Nov-19
,20-Nov-19
,21-Nov-19
,22-Nov-19
,25-Nov-19
,26-Nov-19
,27-Nov-19
,28-Nov-19
,29-Nov-19
,2-Dec-19
,3-Dec-19
,4-Dec-19
,5-Dec-19
,6-Dec-19
,9-Dec-19
,10-Dec-19
,11-Dec-19
,12-Dec-19
,13-Dec-19
,16-Dec-19
,17-Dec-19
,18-Dec-19
,19-Dec-19
,20-Dec-19
,23-Dec-19
,24-Dec-19
,26-Dec-19
,27-Dec-19
,30-Dec-19
,31-Dec-19
,1-Jan-20
,2-Jan-20
,3-Jan-20
,6-Jan-20
,7-Jan-20
,8-Jan-20
,9-Jan-20
,10-Jan-20
,13-Jan-20
,14-Jan-20
,15-Jan-20
,16-Jan-20
,17-Jan-20
,20-Jan-20
,21-Jan-20
,22-Jan-20
,23-Jan-20
,24-Jan-20
,27-Jan-20
,28-Jan-20
,29-Jan-20
,30-Jan-20
,31-Jan-20
,3-Feb-20
,4-Feb-20
,5-Feb-20
,6-Feb-20
,7-Feb-20
,10-Feb-20
,11-Feb-20
,12-Feb-20
,13-Feb-20
,14-Feb-20
,17-Feb-20
,18-Feb-20
,19-Feb-20
,20-Feb-20
,24-Feb-20
,25-Feb-20
,26-Feb-20
,27-Feb-20
,28-Feb-20
